"word","word_count"
"Css,Javascript,Sem,Html,Api","2"
"Btp,Ui5,Javascript,Sapui5,Cloudsdk,Odata,Softwaredesign,Database,Technologyconsulting,Technicalskills","2"
"Applicationsupport,Html,Sql","2"
"Conference,Asp.Net,Ado.Net,Vb.Net,Ajax,T-Sql,Sql","2"
"Css,Html5,Html,Javascript,Html,Css,","2"
"Sqlserver,Databasearchitecture,Transactionalandanalytics,Azure,Complexqueries,Sqldevelopment,Triggers,Databasedeveloper,Ssrs","2"
"R2,Informationtechnology,Dbms,T-Sql,Xml,Ssrs,C#,Triggers,.Net,Microsofttechnologies,Bi,Sql,T-Sql,Sqldeveloper,Rdbms,Productionsupport","2"
"Css,Html5,Mobile,Javascript,Jquery","2"
"Css,Mobile,Debugging,Javascript","2"
"Sdet,Automation,Python,Kubernetes,Testengineering,C,Testautomation,Regressiontesting,Storage,Java,Testplanning,Perl,Lifecycle,Os,Systemtesting,Testcasedevelopment,Infrastructure","2"
"Pythonprogramming,Django,Training,Coursematerials,Presentationskills,Recruitment,Trainer,Communicationskills","2"
"Excel,Audit,Stock,Pricing,Reporting","2"
"Billing,Salespurchase,Accounting,Taxation,Tally,Excel,Accountant,Gst,Accounts","2"
"Python,Css,Git,Devops","2"
"Softwaredevelopment,Troubleshooting,Debugging,Unix,Scripting,Rest,Os,Xml,Json","2"
"Css,Xml,Html,Press,Mobile,Reportingtools","2"
"Css,Html,Git/Github","2"
"React.Js,Node.Js,Javascript","2"
"Teamplayer,Sql,Xml","2"
"Sql,Database,Programming,Dataintegration,Bugfixes,Databaseprogramming,Sqldeveloper","2"
"Css,Java,Html5,Xml,Webtechnologies","2"
"Msexcel,Typing,Communication,Bankingoperations,Advancedmsexcel,Audit,Auditor","2"
"Python,Postgresql,Xml,Birt,Reportingtools,Javascript,Jasper","2"
"Problemsolving,Teamplayer,Database,Xml,Json,Mvc","2"
"Css,Mobile,Javascript,Html,Api","2"
"C#,Entityframework,Xml,Asp.Net,Telerik,Json,Mvc,Mongodb,Jquery","2"
"Html5,Wordpress,Mobile,Bootstrap,Java,Opencart,Html","2"
"Css,Html,Technicalwriter","2"
"Css,Html5,Bootstrap,Html,Webdevelopment","2"
"Rest,Css,Javascript,React.Js,Debugging,Html","2"
"Python,Database,Django,Os,Html5,Webdeveloper,Multithreading,Javascript","1"
"Wordpress,Apache,Devops,Mysql,Python,Ubuntu,Serversecurity,Intrusiondetection,Docker,Security,Database,Git,Linux,Codeigniter,Magento,Webhosting,Infrastructure,Php","1"
